Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
Gold,Gold,A,D,1,Expert-DAG,IV-2SLS,Causal,47.260956,26.781726,389384761.5173,-0.0034
Gold,Gold,A,D,5,Expert-DAG,CausalImpact,Causal,47.275133,26.764966,475653796.8711,-0.0029
Gold,Gold,A,D,5,Expert-DAG,DML,Causal,48.127877,27.179522,572130721.5748,-0.0394
Gold,Gold,A,D,5,Expert-DAG,VAR+Granger,Causal,47.095325,26.766944,190419838.3788,0.0026
Gold,Gold,A,D,5,Expert-DAG,IV-2SLS,Causal,47.272909,26.730411,444203580.261,-0.0028
Gold,Gold,A,D,21,Expert-DAG,CausalImpact,Causal,47.543363,26.892773,359238518.7975,-0.0107
Gold,Gold,A,D,21,Expert-DAG,DML,Causal,47.413044,27.177197,415841491.9001,-0.0039
Gold,Gold,A,D,21,Expert-DAG,VAR+Granger,Causal,47.288138,26.695951,48945694.1717,-0.0055
Gold,Gold,A,D,21,Expert-DAG,IV-2SLS,Causal,47.377812,26.784816,320503858.5188,-0.0037
Gold,Gold,A,D,1,PC-DAG,CausalImpact,Causal,47.583369,27.086158,511321886.3229,-0.0171
Gold,Gold,A,D,1,PC-DAG,DML,Causal,48.986455,28.16915,2812354684.6003,-0.0768
Gold,Gold,A,D,1,PC-DAG,VAR+Granger,Causal,47.201723,26.928847,546696764.4763,-0.0019
Gold,Gold,A,D,1,PC-DAG,IV-2SLS,Causal,47.260956,26.781726,389384761.5173,-0.0034
Gold,Gold,A,D,5,PC-DAG,CausalImpact,Causal,47.288881,26.843144,652266337.3732,-0.0034
Gold,Gold,A,D,5,PC-DAG,DML,Causal,48.289655,27.305636,379454905.8048,-0.0464
Gold,Gold,A,D,5,PC-DAG,VAR+Granger,Causal,47.078983,26.761393,225498425.719,0.0033
Gold,Gold,A,D,5,PC-DAG,IV-2SLS,Causal,47.272909,26.730411,444203580.261,-0.0028
Gold,Gold,A,D,21,PC-DAG,CausalImpact,Causal,47.46403,26.972078,660477792.4638,-0.0073
Gold,Gold,A,D,21,PC-DAG,DML,Causal,47.362533,27.154779,625981776.9711,-0.0018
Gold,Gold,A,D,21,PC-DAG,VAR+Granger,Causal,47.280676,26.686299,52003758.8574,-0.0052
Gold,Gold,A,D,21,PC-DAG,IV-2SLS,Causal,47.377812,26.784816,320503858.5188,-0.0037
EUR/USD,EURUSD,B,D,1,Heuristic-Z,CausalImpact,Causal,0.004994,0.003703,80064.7001,-0.0261
EUR/USD,EURUSD,B,D,1,Heuristic-Z,DML,Causal,0.005004,0.003719,230191.3361,-0.029
EUR/USD,EURUSD,B,D,1,Heuristic-Z,VAR+Granger,Causal,0.004977,0.0037,92484.4978,-0.0196
EUR/USD,EURUSD,B,D,1,Heuristic-Z,IV-2SLS,Causal,0.004692,0.003496,225765.1653,0.0944
EUR/USD,EURUSD,B,D,5,Heuristic-Z,CausalImpact,Causal,0.004981,0.003688,452517.0099,-0.0197
EUR/USD,EURUSD,B,D,5,Heuristic-Z,DML,Causal,0.004992,0.003698,1146809.879,-0.0243
EUR/USD,EURUSD,B,D,5,Heuristic-Z,VAR+Granger,Causal,0.004931,0.003671,51451.6678,-0.0007
EUR/USD,EURUSD,B,D,5,Heuristic-Z,IV-2SLS,Causal,0.004972,0.003694,348005.1227,-0.016
EUR/USD,EURUSD,B,D,21,Heuristic-Z,CausalImpact,Causal,0.005008,0.003712,216949.1092,-0.028
EUR/USD,EURUSD,B,D,21,Heuristic-Z,DML,Causal,0.005469,0.004047,2211384.3668,-0.2249
EUR/USD,EURUSD,B,D,21,Heuristic-Z,VAR+Granger,Causal,0.004931,0.00367,47795.8576,-0.0011
EUR/USD,EURUSD,B,D,21,Heuristic-Z,IV-2SLS,Causal,0.004957,0.003682,174614.4215,-0.0071
EUR/USD,EURUSD,B,D,1,Expert-DAG,CausalImpact,Causal,0.005012,0.003755,688319.4152,-0.0334
EUR/USD,EURUSD,B,D,1,Expert-DAG,DML,Causal,0.004919,0.003689,744996.8287,0.0058
EUR/USD,EURUSD,B,D,1,Expert-DAG,VAR+Granger,Causal,0.006109,0.004313,1007466.1212,-0.5363
EUR/USD,EURUSD,B,D,1,Expert-DAG,IV-2SLS,Causal,0.004692,0.003496,225765.1653,0.0944
EUR/USD,EURUSD,B,D,5,Expert-DAG,CausalImpact,Causal,0.00508,0.003697,561522.8101,-0.0604
EUR/USD,EURUSD,B,D,5,Expert-DAG,DML,Causal,0.005433,0.003983,1056871.0891,-0.2132
EUR/USD,EURUSD,B,D,5,Expert-DAG,VAR+Granger,Causal,0.005006,0.003748,293822.0432,-0.0316
EUR/USD,EURUSD,B,D,5,Expert-DAG,IV-2SLS,Causal,0.004972,0.003694,348005.1227,-0.016
EUR/USD,EURUSD,B,D,21,Expert-DAG,CausalImpact,Causal,0.005044,0.003736,425055.8657,-0.0429
EUR/USD,EURUSD,B,D,21,Expert-DAG,DML,Causal,0.005292,0.00398,1964087.7891,-0.1467
EUR/USD,EURUSD,B,D,21,Expert-DAG,VAR+Granger,Causal,0.004933,0.00367,58274.1809,-0.0016
EUR/USD,EURUSD,B,D,21,Expert-DAG,IV-2SLS,Causal,0.004957,0.003682,174614.4215,-0.0071
EUR/USD,EURUSD,B,D,1,PC-DAG,CausalImpact,Causal,0.005071,0.003797,1239709.1634,-0.0581
EUR/USD,EURUSD,B,D,1,PC-DAG,DML,Causal,0.004926,0.003689,544776.4153,0.0027
